id,team,sensor,mac,temp,humidity,aqi,tvoc,eco2,created_at,lat,lon,sender,rssi,timestamp
11052,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.32,31.71,1,0,400,32:10.0,36.63031149726775,127.45578709986653,,-70,
11053,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.32,31.55,1,0,400,32:12.0,36.63030047458155,127.45580951772239,,-71,
11054,team 5,opensrc_team2,B8:27:EB:D3:40:06,20.16,39.87,1,28,409,32:11.0,36.63030047458155,127.45580951772239,,-92,
11055,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.32,31.55,1,0,400,32:12.0,36.63029418740238,127.4558225359743,,-63,
11056,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.32,31.45,1,0,400,32:14.0,36.63028877306843,127.4558329141106,,-66,
11057,team 5,opensrc_team2,B8:27:EB:D3:40:06,20.2,39.69,1,35,425,32:15.0,36.630282149152926,127.45584211305423,,-90,
11058,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.34,31.36,1,0,400,32:18.0,36.630282149152926,127.45584211305423,,-61,
11059,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.26,35.54,1,18,400,32:18.0,36.630282149152926,127.45584211305423,,-89,
11060,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.34,31.36,1,0,400,32:18.0,36.630282149152926,127.45584211305423,,-60,
11061,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.39,31.41,1,0,400,32:20.0,36.630282149152926,127.45584211305423,,-62,
11062,team 5,opensrc_team2,B8:27:EB:D3:40:06,20.23,39.14,1,30,414,32:21.0,36.630282149152926,127.45584211305423,,-90,
11063,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.39,31.41,1,0,400,32:20.0,36.630282149152926,127.45584211305423,,-60,
11064,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.45,31.48,1,0,400,32:22.0,36.630282149152926,127.45584211305423,,-62,
11065,team 5,opensrc_team2,B8:27:EB:D3:40:06,20.24,39.31,1,22,400,32:23.0,36.630282149152926,127.45584211305423,,-86,
11066,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.47,31.59,1,0,400,32:24.0,36.630282149152926,127.45584211305423,,-61,
11067,team 5,opensrc_team2,B8:27:EB:D3:40:06,20.24,39.31,1,22,400,32:23.0,36.630282149152926,127.45584211305423,,-89,
11068,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.4,35.38,1,8,400,32:24.0,36.630282149152926,127.45584211305423,,-93,
11069,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.48,31.64,1,0,400,32:26.0,36.630282149152926,127.45584211305423,,-60,
11070,team 5,opensrc_team2,B8:27:EB:D3:40:06,20.23,39.25,1,27,408,32:27.0,36.6302909,127.4560999,,-89,
11071,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.48,31.64,1,0,400,32:26.0,36.6302909,127.4560999,,-61,
11072,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.46,31.59,1,0,400,32:28.0,36.6302909,127.4560999,,-59,
11073,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.43,34.91,1,5,400,32:28.0,36.6302909,127.4560999,,-92,
11074,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.46,31.59,1,0,400,32:28.0,36.6302909,127.4560999,,-62,
11075,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.46,31.56,1,0,400,32:30.0,36.6302909,127.4560999,,-62,
11076,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.4,34.6,1,9,400,32:30.0,36.6302909,127.4560999,,-92,
11077,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.45,31.45,1,0,400,32:32.0,36.6302909,127.4560999,,-62,
11078,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.4,34.58,1,4,400,32:32.0,36.6302909,127.4560999,,-89,
11079,team 5,opensrc_team2,B8:27:EB:D3:40:06,20.27,39.34,1,33,420,32:35.0,36.6302909,127.4560999,,-90,
11080,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.47,31.33,1,0,400,32:34.0,36.6302909,127.4560999,,-61,
11081,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.33,34.63,1,7,400,32:34.0,36.6302909,127.4560999,,-89,
11082,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.47,31.26,1,0,400,32:36.0,36.6302909,127.4560999,,-62,
11083,team 5,opensrc_team2,B8:27:EB:D3:40:06,20.22,39.41,1,28,409,32:37.0,36.6302909,127.4560999,,-91,
11084,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.47,31.26,1,0,400,32:36.0,36.6302909,127.4560999,,-61,
