lat_train
36.63
36.6304
36.6303
36.6294
36.6298
36.6297
36.6292
36.6305
36.6292
36.6303
36.631
36.6296
36.6296
36.6308
36.6288
36.6299
36.6303
36.6297
36.6294
36.6304
36.6297
36.6291
36.6301
36.6296
36.6294
36.6305
36.6295
36.6301
36.6293
36.6295
36.6285
36.6294
36.6298
36.6291
36.6304
36.6289
36.6305
36.6297
36.6306
36.6301
36.6325
36.6301
36.6299
36.63
36.6303
36.6299
36.6303
36.6302
36.6317
36.6304
36.6298
36.6301
36.63
36.6306
36.6301
36.6297
36.6322
36.6302
36.6302
36.6309
36.6298
36.6296
36.6282
36.63
36.6295
36.6285
36.6295
36.6306
36.6308
36.6304
36.6306
36.6305
36.6295
36.6302
36.6304
36.6293
36.6309
36.63
